RAZA,SEXO,Dia,Peso,Cons_Acum
ROSS 308 AP,HEMBRA,36,2303,3256
ROSS 308 AP,HEMBRA,37,2396,3433
ROSS 308 AP,HEMBRA,38,2489,3614
ROSS 308 AP,HEMBRA,39,2581,3798
ROSS 308 AP,HEMBRA,40,2673,3985
ROSS 308 AP,HEMBRA,41,2765,4176
ROSS 308 AP,HEMBRA,42,2856,4369
ROSS 308 AP,HEMBRA,43,2946,4565
ROSS 308 AP,HEMBRA,44,3036,4763
ROSS 308 AP,HEMBRA,45,3125,4964
ROSS 308 AP,HEMBRA,46,3214,5167
ROSS 308 AP,HEMBRA,47,3301,5372
ROSS 308 AP,HEMBRA,48,3387,5578
ROSS 308 AP,HEMBRA,49,3473,5786
ROSS 308 AP,HEMBRA,50,3557,5996
ROSS 308 AP,HEMBRA,51,3640,6206
ROSS 308 AP,HEMBRA,52,3722,6418
ROSS 308 AP,HEMBRA,53,3803,6631
ROSS 308 AP,HEMBRA,54,3883,6844
ROSS 308 AP,HEMBRA,55,3961,7059
ROSS 308 AP,HEMBRA,56,4038,7273
ROSS 308 AP,MACHO,1,61,11
ROSS 308 AP,MACHO,2,79,26
ROSS 308 AP,MACHO,3,100,45
ROSS 308 AP,MACHO,4,124,67
ROSS 308 AP,MACHO,5,150,94
ROSS 308 AP,MACHO,6,180,125
ROSS 308 AP,MACHO,7,213,160
ROSS 308 AP,MACHO,8,250,200
ROSS 308 AP,MACHO,9,290,245
ROSS 308 AP,MACHO,10,334,294
ROSS 308 AP,MACHO,11,382,348
ROSS 308 AP,MACHO,12,434,408
ROSS 308 AP,MACHO,13,489,473
ROSS 308 AP,MACHO,14,549,543
ROSS 308 AP,MACHO,15,612,620
ROSS 308 AP,MACHO,16,679,702
ROSS 308 AP,MACHO,17,749,790
ROSS 308 AP,MACHO,18,824,884
ROSS 308 AP,MACHO,19,901,985
ROSS 308 AP,MACHO,20,983,1092
ROSS 308 AP,MACHO,21,1067,1205
ROSS 308 AP,MACHO,22,1155,1325
ROSS 308 AP,MACHO,23,1246,1452
ROSS 308 AP,MACHO,24,1339,1584
ROSS 308 AP,MACHO,25,1436,1724
ROSS 308 AP,MACHO,26,1535,1869
ROSS 308 AP,MACHO,27,1636,2021
ROSS 308 AP,MACHO,28,1739,2180
ROSS 308 AP,MACHO,29,1845,2344
ROSS 308 AP,MACHO,30,1952,2515
ROSS 308 AP,MACHO,31,2061,2691
ROSS 308 AP,MACHO,32,2171,2874
ROSS 308 AP,MACHO,33,2283,3062
ROSS 308 AP,MACHO,34,2395,3256
ROSS 308 AP,MACHO,35,2509,3455
ROSS 308 AP,MACHO,36,2623,3659
ROSS 308 AP,MACHO,37,2738,3868
ROSS 308 AP,MACHO,38,2853,4081
ROSS 308 AP,MACHO,39,2969,4300
ROSS 308 AP,MACHO,40,3085,4522
ROSS 308 AP,MACHO,41,3200,4749
ROSS 308 AP,MACHO,42,3316,4980
ROSS 308 AP,MACHO,43,3431,5214
ROSS 308 AP,MACHO,44,3546,5452
ROSS 308 AP,MACHO,45,3660,5693
ROSS 308 AP,MACHO,46,3773,5937
ROSS 308 AP,MACHO,47,3886,6184
ROSS 308 AP,MACHO,48,3998,6433
ROSS 308 AP,MACHO,49,4109,6685
ROSS 308 AP,MACHO,50,4219,6938
ROSS 308 AP,MACHO,51,4328,7194
ROSS 308 AP,MACHO,52,4436,7452
ROSS 308 AP,MACHO,53,4542,7711
ROSS 308 AP,MACHO,54,4647,7971
ROSS 308 AP,MACHO,55,4751,8232
ROSS 308 AP,MACHO,56,4853,8495
ROSS 308 AP,MIXTO,1,62,12
ROSS 308 AP,MIXTO,2,80,28
ROSS 308 AP,MIXTO,3,101,48
ROSS 308 AP,MIXTO,4,125,71
ROSS 308 AP,MIXTO,5,151,98
ROSS 308 AP,MIXTO,6,181,130
ROSS 308 AP,MIXTO,7,214,165
ROSS 308 AP,MIXTO,8,250,204
ROSS 308 AP,MIXTO,9,289,248
ROSS 308 AP,MIXTO,10,333,296
ROSS 308 AP,MIXTO,11,379,349
ROSS 308 AP,MIXTO,12,429,407
ROSS 308 AP,MIXTO,13,483,469
ROSS 308 AP,MIXTO,14,540,537
ROSS 308 AP,MIXTO,15,601,610
ROSS 308 AP,MIXTO,16,665,689
ROSS 308 AP,MIXTO,17,732,773
ROSS 308 AP,MIXTO,18,803,863
ROSS 308 AP,MIXTO,19,876,959
ROSS 308 AP,MIXTO,20,953,1060
ROSS 308 AP,MIXTO,21,1033,1167
ROSS 308 AP,MIXTO,22,1115,1280
ROSS 308 AP,MIXTO,23,1200,1400
ROSS 308 AP,MIXTO,24,1287,1525
ROSS 308 AP,MIXTO,25,1377,1655
ROSS 308 AP,MIXTO,26,1468,1792
ROSS 308 AP,MIXTO,27,1562,1935
ROSS 308 AP,MIXTO,28,1657,2083
ROSS 308 AP,MIXTO,29,1754,2236
ROSS 308 AP,MIXTO,30,1853,2396
ROSS 308 AP,MIXTO,31,1952,2560
ROSS 308 AP,MIXTO,32,2053,2730
ROSS 308 AP,MIXTO,33,2154,2904
ROSS 308 AP,MIXTO,34,2257,3084
ROSS 308 AP,MIXTO,35,2360,3268
ROSS 308 AP,MIXTO,36,2463,3457
ROSS 308 AP,MIXTO,37,2567,3650
ROSS 308 AP,MIXTO,38,2671,3848
ROSS 308 AP,MIXTO,39,2775,4049
ROSS 308 AP,MIXTO,40,2879,4254
ROSS 308 AP,MIXTO,41,2982,4463
ROSS 308 AP,MIXTO,42,3086,4674
ROSS 308 AP,MIXTO,43,3189,4890
ROSS 308 AP,MIXTO,44,3291,5108
ROSS 308 AP,MIXTO,45,3393,5328
ROSS 308 AP,MIXTO,46,3493,5552
ROSS 308 AP,MIXTO,47,3594,5778
ROSS 308 AP,MIXTO,48,3693,6005
